[#I]Device Description,,,
7/2/2023,11:26:30 AM,42,29.9
7/2/2023,11:27:30 AM,42,29.9
7/2/2023,11:28:30 AM,42,29.9
7/2/2023,11:29:30 AM,42,29.9
7/2/2023,11:30:30 AM,42,29.9
7/2/2023,11:31:30 AM,42,29.9
7/2/2023,11:32:30 AM,42,29.9
7/2/2023,11:33:30 AM,42,29.9
7/2/2023,11:34:30 AM,42,29.9
7/2/2023,11:35:30 AM,42,29.9
7/2/2023,11:36:30 AM,42,29.9
7/2/2023,11:37:30 AM,42,29.9
7/2/2023,11:38:30 AM,42,29.9
7/2/2023,11:39:30 AM,42,29.9
7/2/2023,11:40:30 AM,42,29.9
7/2/2023,11:41:30 AM,42,29.9
7/2/2023,11:42:30 AM,42,29.9
7/2/2023,11:43:30 AM,42,29.9
7/2/2023,11:44:30 AM,42,29.9
7/2/2023,11:45:30 AM,42,29.9
7/2/2023,11:46:30 AM,42,29.9
7/2/2023,11:47:30 AM,42,29.9
7/2/2023,11:48:30 AM,42,29.9
7/2/2023,11:49:30 AM,42,29.9
7/2/2023,11:50:30 AM,42,29.9
7/2/2023,11:51:30 AM,42,29.9
7/2/2023,11:52:30 AM,42,29.9
7/2/2023,11:53:30 AM,42,29.9
7/2/2023,11:54:30 AM,42,29.9
7/2/2023,11:55:30 AM,42.1,29.9
7/2/2023,11:56:30 AM,42,29.9
7/2/2023,11:57:30 AM,42.1,29.9
7/2/2023,11:58:30 AM,42,29.9
7/2/2023,11:59:30 AM,42,29.9
7/2/2023,12:00:30 PM,42,29.9
7/2/2023,12:01:30 PM,42,29.9
7/2/2023,12:02:30 PM,42,29.9
7/2/2023,12:03:30 PM,42,29.9
7/2/2023,12:04:30 PM,42,29.9
7/2/2023,12:05:30 PM,41.9,29.9
7/2/2023,12:06:30 PM,42,29.9
7/2/2023,12:07:30 PM,42,29.9
7/2/2023,12:08:30 PM,41.9,29.9
7/2/2023,12:09:30 PM,42,29.9
7/2/2023,12:10:30 PM,42,29.9
7/2/2023,12:11:30 PM,42,29.9
7/2/2023,12:12:30 PM,42,29.9
7/2/2023,12:13:30 PM,42,29.9
7/2/2023,12:14:30 PM,42,29.9
7/2/2023,12:15:30 PM,42,29.9
7/2/2023,12:16:30 PM,42,29.9
7/2/2023,12:17:30 PM,42,29.9
7/2/2023,12:18:30 PM,42,29.9
7/2/2023,12:19:30 PM,42,29.9
7/2/2023,12:20:30 PM,41.9,29.9
7/2/2023,12:21:30 PM,42,29.9
7/2/2023,12:22:30 PM,42,29.9
7/2/2023,12:23:30 PM,41.9,29.9
7/2/2023,12:24:30 PM,42,29.9
7/2/2023,12:25:30 PM,42,29.9
7/2/2023,12:26:30 PM,42,29.9
7/2/2023,12:27:30 PM,42,29.9
7/2/2023,12:28:30 PM,42,29.9
7/2/2023,12:29:30 PM,42,29.9
7/2/2023,12:30:30 PM,42,29.9
7/2/2023,12:31:30 PM,42,29.9
7/2/2023,12:32:30 PM,42,29.9
7/2/2023,12:33:30 PM,42,29.9
7/2/2023,12:34:30 PM,41.9,29.9
7/2/2023,12:35:30 PM,41.9,29.9
7/2/2023,12:36:30 PM,42,29.9
7/2/2023,12:37:30 PM,42,29.9
7/2/2023,12:38:30 PM,42,29.9
7/2/2023,12:39:30 PM,42,29.9
7/2/2023,12:40:30 PM,42,29.9
7/2/2023,12:41:30 PM,42,29.9
7/2/2023,12:42:30 PM,42,29.9
7/2/2023,12:43:30 PM,42,29.9
7/2/2023,12:44:30 PM,42,29.9
7/2/2023,12:45:30 PM,41.9,29.9
7/2/2023,12:46:30 PM,41.9,29.9
7/2/2023,12:47:30 PM,42,29.9
7/2/2023,12:48:30 PM,42,29.9
7/2/2023,12:49:30 PM,42,29.9
7/2/2023,12:50:30 PM,42,29.9
7/2/2023,12:51:30 PM,42,29.9
7/2/2023,12:52:30 PM,42,29.9
7/2/2023,12:53:30 PM,42,29.9
7/2/2023,12:54:30 PM,42,29.9
7/2/2023,12:55:30 PM,42,29.9
7/2/2023,12:56:30 PM,42,29.9
7/2/2023,12:57:30 PM,42,29.9
7/2/2023,12:58:30 PM,42,29.9
7/2/2023,12:59:30 PM,42,29.9
7/2/2023,1:00:30 PM,42,29.9
7/2/2023,1:01:30 PM,42,29.9
7/2/2023,1:02:30 PM,42,29.9
7/2/2023,1:03:30 PM,42,29.9
7/2/2023,1:04:30 PM,42,29.9
7/2/2023,1:05:30 PM,42,29.9
7/2/2023,1:06:30 PM,42,29.9
7/2/2023,1:07:30 PM,42,29.9
7/2/2023,1:08:30 PM,42,29.9
7/2/2023,1:09:30 PM,42,29.9
7/2/2023,1:10:30 PM,42,29.9
7/2/2023,1:11:30 PM,42,29.9
7/2/2023,1:12:30 PM,42,29.9
7/2/2023,1:13:30 PM,41.9,29.9
7/2/2023,1:14:30 PM,41.9,29.9
7/2/2023,1:15:30 PM,41.9,29.9
7/2/2023,1:16:30 PM,41.9,29.9
7/2/2023,1:17:30 PM,42,29.9
7/2/2023,1:18:30 PM,41.9,29.9
7/2/2023,1:19:30 PM,41.9,29.9
7/2/2023,1:20:30 PM,42,29.9
7/2/2023,1:21:30 PM,41.9,29.9
7/2/2023,1:22:30 PM,41.9,29.9
7/2/2023,1:23:30 PM,41.9,29.9
7/2/2023,1:24:30 PM,41.9,29.9
7/2/2023,1:25:30 PM,41.9,29.9
7/2/2023,1:26:30 PM,41.9,29.9
7/2/2023,1:27:30 PM,41.9,29.9
7/2/2023,1:28:30 PM,41.9,29.9
7/2/2023,1:29:30 PM,41.9,29.9
7/2/2023,1:30:30 PM,41.9,29.9
7/2/2023,1:31:30 PM,41.9,29.9
7/2/2023,1:32:30 PM,41.9,29.9
7/2/2023,1:33:30 PM,41.9,29.9
7/2/2023,1:34:30 PM,41.9,29.9
7/2/2023,1:35:30 PM,41.9,29.9
7/2/2023,1:36:30 PM,41.9,29.9
7/2/2023,1:37:30 PM,41.9,29.9
7/2/2023,1:38:30 PM,41.9,29.9
7/2/2023,1:39:30 PM,41.9,29.9
7/2/2023,1:40:30 PM,41.9,29.9
7/2/2023,1:41:30 PM,41.9,29.9
7/2/2023,1:42:30 PM,41.9,29.9
7/2/2023,1:43:30 PM,41.9,29.9
7/2/2023,1:44:30 PM,41.9,29.9
7/2/2023,1:45:30 PM,41.9,29.9
7/2/2023,1:46:30 PM,41.9,29.9
7/2/2023,1:47:30 PM,41.9,29.9
7/2/2023,1:48:30 PM,41.9,29.9
7/2/2023,1:49:30 PM,41.9,29.9
7/2/2023,1:50:30 PM,41.8,29.9
7/2/2023,1:51:30 PM,41.8,29.9
7/2/2023,1:52:30 PM,41.8,29.9
7/2/2023,1:53:30 PM,41.8,29.9
7/2/2023,1:54:30 PM,41.8,29.9
7/2/2023,1:55:30 PM,41.8,29.9
7/2/2023,1:56:30 PM,41.8,29.9
7/2/2023,1:57:30 PM,41.8,29.9
7/2/2023,1:58:30 PM,41.8,29.9
7/2/2023,1:59:30 PM,41.8,29.9
7/2/2023,2:00:30 PM,41.8,29.9
7/2/2023,2:01:30 PM,41.8,29.9
7/2/2023,2:02:30 PM,41.8,29.9
7/2/2023,2:03:30 PM,41.8,29.9
7/2/2023,2:04:30 PM,41.7,29.9
7/2/2023,2:05:30 PM,41.7,29.9
7/2/2023,2:06:30 PM,41.7,29.9
7/2/2023,2:07:30 PM,41.7,29.9
7/2/2023,2:08:30 PM,41.7,29.9
7/2/2023,2:09:30 PM,41.7,29.9
7/2/2023,2:10:30 PM,41.7,29.9
7/2/2023,2:11:30 PM,41.7,29.9
7/2/2023,2:12:30 PM,41.8,29.9
7/2/2023,2:13:30 PM,41.8,29.9
7/2/2023,2:14:30 PM,41.7,29.9
7/2/2023,2:15:30 PM,41.7,29.9
7/2/2023,2:16:30 PM,41.7,29.9
7/2/2023,2:17:30 PM,41.7,29.9
7/2/2023,2:18:30 PM,41.7,29.9
7/2/2023,2:19:30 PM,41.7,29.9
7/2/2023,2:20:30 PM,41.7,29.9
7/2/2023,2:21:30 PM,41.7,29.9
7/2/2023,2:22:30 PM,41.7,29.9
7/2/2023,2:23:30 PM,41.7,29.9
7/2/2023,2:24:30 PM,41.7,29.9
7/2/2023,2:25:30 PM,41.8,29.9
7/2/2023,2:26:30 PM,41.7,29.9
7/2/2023,2:27:30 PM,41.7,29.9
7/2/2023,2:28:30 PM,41.7,29.9
7/2/2023,2:29:30 PM,41.8,29.9
7/2/2023,2:30:30 PM,41.7,29.9
7/2/2023,2:31:30 PM,41.8,29.9
7/2/2023,2:32:30 PM,41.8,29.9
7/2/2023,2:33:30 PM,41.8,29.9
7/2/2023,2:34:30 PM,41.7,29.9
7/2/2023,2:35:30 PM,41.7,29.9
7/2/2023,2:36:30 PM,41.7,29.9
7/2/2023,2:37:30 PM,41.7,29.9
7/2/2023,2:38:30 PM,41.7,29.9
7/2/2023,2:39:30 PM,41.7,29.9
7/2/2023,2:40:30 PM,41.7,29.9
7/2/2023,2:41:30 PM,41.7,29.9
7/2/2023,2:42:30 PM,41.7,29.9
7/2/2023,2:43:30 PM,41.6,29.9
7/2/2023,2:44:30 PM,41.6,29.9
7/2/2023,2:45:30 PM,41.7,29.9
7/2/2023,2:46:30 PM,41.7,29.9
7/2/2023,2:47:30 PM,41.6,29.9
7/2/2023,2:48:30 PM,41.7,29.9
7/2/2023,2:49:30 PM,41.7,29.9
7/2/2023,2:50:30 PM,41.6,29.9
7/2/2023,2:51:30 PM,41.6,29.9
7/2/2023,2:52:30 PM,41.7,29.9
7/2/2023,2:53:30 PM,41.6,29.9
7/2/2023,2:54:30 PM,41.7,29.9
7/2/2023,2:55:30 PM,41.7,29.9
7/2/2023,2:56:30 PM,41.7,29.9
7/2/2023,2:57:30 PM,41.6,29.9
7/2/2023,2:58:30 PM,41.6,29.9
7/2/2023,2:59:30 PM,41.6,29.9
7/2/2023,3:00:30 PM,41.6,29.9
7/2/2023,3:01:30 PM,41.6,29.9
7/2/2023,3:02:30 PM,41.6,29.9
7/2/2023,3:03:30 PM,41.6,29.9
7/2/2023,3:04:30 PM,41.7,29.9
7/2/2023,3:05:30 PM,41.6,29.9
7/2/2023,3:06:30 PM,41.6,29.9
7/2/2023,3:07:30 PM,41.6,29.9
7/2/2023,3:08:30 PM,41.6,29.9
7/2/2023,3:09:30 PM,41.6,29.9
7/2/2023,3:10:30 PM,41.7,29.9
7/2/2023,3:11:30 PM,41.6,29.9
7/2/2023,3:12:30 PM,41.7,29.9
7/2/2023,3:13:30 PM,41.6,29.9
7/2/2023,3:14:30 PM,41.6,29.9
7/2/2023,3:15:30 PM,41.7,29.9
7/2/2023,3:16:30 PM,41.6,29.9
7/2/2023,3:17:30 PM,41.6,29.9
7/2/2023,3:18:30 PM,41.6,29.9
7/2/2023,3:19:30 PM,41.6,29.9
7/2/2023,3:20:30 PM,41.6,29.9
7/2/2023,3:21:30 PM,41.6,29.9
7/2/2023,3:22:30 PM,41.6,29.9
7/2/2023,3:23:30 PM,41.6,29.9
7/2/2023,3:24:30 PM,41.6,29.9
7/2/2023,3:25:30 PM,41.5,29.9
7/2/2023,3:26:30 PM,41.5,29.9
7/2/2023,3:27:30 PM,41.5,29.9
7/2/2023,3:28:30 PM,41.5,29.9
7/2/2023,3:29:30 PM,41.6,29.9
7/2/2023,3:30:30 PM,41.6,29.9
7/2/2023,3:31:30 PM,41.5,29.9
7/2/2023,3:32:30 PM,41.5,29.9
7/2/2023,3:33:30 PM,41.5,29.9
7/2/2023,3:34:30 PM,41.5,29.9
7/2/2023,3:35:30 PM,41.5,29.9
7/2/2023,3:36:30 PM,41.5,29.9
7/2/2023,3:37:30 PM,41.5,29.9
7/2/2023,3:38:30 PM,41.5,29.9
7/2/2023,3:39:30 PM,41.5,29.9
7/2/2023,3:40:30 PM,41.5,29.9
7/2/2023,3:41:30 PM,41.5,29.9
7/2/2023,3:42:30 PM,41.5,29.9
7/2/2023,3:43:30 PM,41.4,29.9
7/2/2023,3:44:30 PM,41.5,29.9
7/2/2023,3:45:30 PM,41.4,29.9
7/2/2023,3:46:30 PM,41.4,29.9
7/2/2023,3:47:30 PM,41.4,29.9
7/2/2023,3:48:30 PM,41.5,29.9
7/2/2023,3:49:30 PM,41.5,29.9
7/2/2023,3:50:30 PM,41.5,29.9
7/2/2023,3:51:30 PM,41.5,29.9
7/2/2023,3:52:30 PM,41.5,29.9
7/2/2023,3:53:30 PM,41.5,29.9
7/2/2023,3:54:30 PM,41.4,29.9
7/2/2023,3:55:30 PM,41.4,29.9
7/2/2023,3:56:30 PM,41.5,29.9
7/2/2023,3:57:30 PM,41.5,29.9
7/2/2023,3:58:30 PM,41.5,29.9
7/2/2023,3:59:30 PM,41.4,29.9
7/2/2023,4:00:30 PM,41.5,29.9
7/2/2023,4:01:30 PM,41.5,29.9
7/2/2023,4:02:30 PM,41.5,29.9
7/2/2023,4:03:30 PM,41.4,29.9
7/2/2023,4:04:30 PM,41.5,29.9
7/2/2023,4:05:30 PM,41.5,29.9
7/2/2023,4:06:30 PM,41.4,29.9
7/2/2023,4:07:30 PM,41.5,29.9
7/2/2023,4:08:30 PM,41.5,29.9
7/2/2023,4:09:30 PM,41.4,29.9
7/2/2023,4:10:30 PM,41.5,29.9
7/2/2023,4:11:30 PM,41.5,29.9
7/2/2023,4:12:30 PM,41.4,29.9
7/2/2023,4:13:30 PM,41.4,29.9
7/2/2023,4:14:30 PM,41.4,29.9
7/2/2023,4:15:30 PM,41.4,29.9
7/2/2023,4:16:30 PM,41.5,29.9
7/2/2023,4:17:30 PM,41.5,29.9
7/2/2023,4:18:30 PM,41.4,29.9
7/2/2023,4:19:30 PM,41.5,29.9
7/2/2023,4:20:30 PM,41.5,29.9
7/2/2023,4:21:30 PM,41.5,29.9
7/2/2023,4:22:30 PM,41.5,29.9
7/2/2023,4:23:30 PM,41.4,29.9
7/2/2023,4:24:30 PM,41.5,29.9
7/2/2023,4:25:30 PM,41.5,29.9
7/2/2023,4:26:30 PM,41.4,29.9
7/2/2023,4:27:30 PM,41.4,29.9
7/2/2023,4:28:30 PM,41.4,29.9
7/2/2023,4:29:30 PM,41.4,29.9
7/2/2023,4:30:30 PM,41.4,29.9
7/2/2023,4:31:30 PM,41.4,29.9
7/2/2023,4:32:30 PM,41.4,29.9
7/2/2023,4:33:30 PM,41.4,29.9
7/2/2023,4:34:30 PM,41.4,29.9
7/2/2023,4:35:30 PM,41.4,29.9
7/2/2023,4:36:30 PM,41.4,29.9
7/2/2023,4:37:30 PM,41.4,29.9
7/2/2023,4:38:30 PM,41.4,29.9
7/2/2023,4:39:30 PM,41.4,29.9
7/2/2023,4:40:30 PM,41.4,29.9
7/2/2023,4:41:30 PM,41.4,29.9
7/2/2023,4:42:30 PM,41.4,29.9
7/2/2023,4:43:30 PM,41.4,29.9
7/2/2023,4:44:30 PM,41.4,29.9
7/2/2023,4:45:30 PM,41.4,29.9
7/2/2023,4:46:30 PM,41.4,29.9
7/2/2023,4:47:30 PM,41.4,29.9
7/2/2023,4:48:30 PM,41.3,29.9
7/2/2023,4:49:30 PM,41.4,29.9
7/2/2023,4:50:30 PM,41.4,29.9
7/2/2023,4:51:30 PM,41.3,29.9
7/2/2023,4:52:30 PM,41.4,29.9
7/2/2023,4:53:30 PM,41.4,29.9
7/2/2023,4:54:30 PM,41.4,29.9
7/2/2023,4:55:30 PM,41.4,29.9
7/2/2023,4:56:30 PM,41.4,29.9
7/2/2023,4:57:30 PM,41.4,29.9
7/2/2023,4:58:30 PM,41.4,29.9
7/2/2023,4:59:30 PM,41.3,29.9
7/2/2023,5:00:30 PM,41.4,29.9
7/2/2023,5:01:30 PM,41.4,29.9
7/2/2023,5:02:30 PM,41.4,29.9
7/2/2023,5:03:30 PM,41.4,29.9
7/2/2023,5:04:30 PM,41.3,29.9
7/2/2023,5:05:30 PM,41.3,29.9
7/2/2023,5:06:30 PM,41.2,29.9
7/2/2023,5:07:30 PM,41.2,29.9
7/2/2023,5:08:30 PM,41.3,29.9
7/2/2023,5:09:30 PM,41.3,29.9
7/2/2023,5:10:30 PM,41.3,29.9
7/2/2023,5:11:30 PM,41.3,29.9
7/2/2023,5:12:30 PM,41.3,29.9
7/2/2023,5:13:30 PM,41.3,29.9
7/2/2023,5:14:30 PM,41.3,29.9
7/2/2023,5:15:30 PM,41.3,29.9
7/2/2023,5:16:30 PM,41.3,29.9
7/2/2023,5:17:30 PM,41.2,29.9
7/2/2023,5:18:30 PM,41.2,29.9
7/2/2023,5:19:30 PM,41.2,29.9
7/2/2023,5:20:30 PM,41.2,29.9
7/2/2023,5:21:30 PM,41.2,29.9
7/2/2023,5:22:30 PM,41.2,29.9
7/2/2023,5:23:30 PM,41.2,29.9
7/2/2023,5:24:30 PM,41.2,29.9
7/2/2023,5:25:30 PM,41.2,29.9
7/2/2023,5:26:30 PM,41.2,29.9
7/2/2023,5:27:30 PM,41.2,29.9
7/2/2023,5:28:30 PM,41.2,29.9
7/2/2023,5:29:30 PM,41.2,29.9
7/2/2023,5:30:30 PM,41.2,29.9
7/2/2023,5:31:30 PM,41.1,29.9
7/2/2023,5:32:30 PM,41.2,29.9
7/2/2023,5:33:30 PM,41.2,29.9
7/2/2023,5:34:30 PM,41.1,29.9
7/2/2023,5:35:30 PM,41.1,29.9
7/2/2023,5:36:30 PM,41.1,29.9
7/2/2023,5:37:30 PM,41.1,29.9
7/2/2023,5:38:30 PM,41.1,29.9
7/2/2023,5:39:30 PM,41.2,29.9
7/2/2023,5:40:30 PM,41.1,29.9
7/2/2023,5:41:30 PM,41.1,29.9
7/2/2023,5:42:30 PM,41.2,29.9
7/2/2023,5:43:30 PM,41.2,29.9
7/2/2023,5:44:30 PM,41.2,29.9
7/2/2023,5:45:30 PM,41.2,29.9
7/2/2023,5:46:30 PM,41.2,29.9
7/2/2023,5:47:30 PM,41.1,29.9
7/2/2023,5:48:30 PM,41.1,29.9
7/2/2023,5:49:30 PM,41.2,29.9
7/2/2023,5:50:30 PM,41.2,29.9
7/2/2023,5:51:30 PM,41.1,29.9
7/2/2023,5:52:30 PM,41.1,29.9
7/2/2023,5:53:30 PM,41.1,29.9
7/2/2023,5:54:30 PM,41.2,29.9
7/2/2023,5:55:30 PM,41.1,29.9
7/2/2023,5:56:30 PM,41.1,29.9
7/2/2023,5:57:30 PM,41.1,29.9
7/2/2023,5:58:30 PM,41.1,29.9
7/2/2023,5:59:30 PM,41.1,29.9
7/2/2023,6:00:30 PM,41.2,29.9
7/2/2023,6:01:30 PM,41.2,29.9
7/2/2023,6:02:30 PM,41.2,29.9
7/2/2023,6:03:30 PM,41.2,29.9
7/2/2023,6:04:30 PM,41.2,29.9
7/2/2023,6:05:30 PM,41.2,29.9
7/2/2023,6:06:30 PM,41.1,29.9
7/2/2023,6:07:30 PM,41.1,29.9
7/2/2023,6:08:30 PM,41.2,29.9
7/2/2023,6:09:30 PM,41.1,29.9
7/2/2023,6:10:30 PM,41.1,29.9
7/2/2023,6:11:30 PM,41.1,29.9
7/2/2023,6:12:30 PM,41.1,29.9
7/2/2023,6:13:30 PM,41.1,29.9
7/2/2023,6:14:30 PM,41.1,29.9
7/2/2023,6:15:30 PM,41.2,29.9
7/2/2023,6:16:30 PM,41.2,29.9
7/2/2023,6:17:30 PM,41.2,29.9
7/2/2023,6:18:30 PM,41.1,29.9
7/2/2023,6:19:30 PM,41.1,29.9
7/2/2023,6:20:30 PM,41.1,29.9
7/2/2023,6:21:30 PM,41.1,29.9
7/2/2023,6:22:30 PM,41.1,29.9
7/2/2023,6:23:30 PM,41.1,29.9
7/2/2023,6:24:30 PM,41,29.9
7/2/2023,6:25:30 PM,41.1,30
7/2/2023,6:26:30 PM,41.1,30
7/2/2023,6:27:30 PM,41.1,30
7/2/2023,6:28:30 PM,41.1,30
7/2/2023,6:29:30 PM,41.1,30
7/2/2023,6:30:30 PM,41.1,30
7/2/2023,6:31:30 PM,41.1,29.9
7/2/2023,6:32:30 PM,41,30
7/2/2023,6:33:30 PM,41,30
7/2/2023,6:34:30 PM,41.1,30
7/2/2023,6:35:30 PM,41.1,30
7/2/2023,6:36:30 PM,41.1,30
7/2/2023,6:37:30 PM,41.1,30
7/2/2023,6:38:30 PM,41.1,30
7/2/2023,6:39:30 PM,41,30
7/2/2023,6:40:30 PM,41,30
7/2/2023,6:41:30 PM,41,30
7/2/2023,6:42:30 PM,41,30
7/2/2023,6:43:30 PM,41,30
7/2/2023,6:44:30 PM,41,30
7/2/2023,6:45:30 PM,41,30
7/2/2023,6:46:30 PM,41,30
7/2/2023,6:47:30 PM,41,30
7/2/2023,6:48:30 PM,41,30
7/2/2023,6:49:30 PM,41,30
7/2/2023,6:50:30 PM,41,30
7/2/2023,6:51:30 PM,41,30
7/2/2023,6:52:30 PM,41,30
7/2/2023,6:53:30 PM,41,30
7/2/2023,6:54:30 PM,41,30
7/2/2023,6:55:30 PM,41,30
7/2/2023,6:56:30 PM,41,30
7/2/2023,6:57:30 PM,41,30
7/2/2023,6:58:30 PM,41,30
7/2/2023,6:59:30 PM,41,30
7/2/2023,7:00:30 PM,41,30
7/2/2023,7:01:30 PM,41,30
7/2/2023,7:02:30 PM,41,30
7/2/2023,7:03:30 PM,41,30
7/2/2023,7:04:30 PM,41,30
7/2/2023,7:05:30 PM,41,30
7/2/2023,7:06:30 PM,41,30
7/2/2023,7:07:30 PM,41,30
7/2/2023,7:08:30 PM,41,30
7/2/2023,7:09:30 PM,41,30
7/2/2023,7:10:30 PM,41,30
7/2/2023,7:11:30 PM,41,30
7/2/2023,7:12:30 PM,41,30
7/2/2023,7:13:30 PM,41,30
7/2/2023,7:14:30 PM,41,30
7/2/2023,7:15:30 PM,41,30
7/2/2023,7:16:30 PM,41,30
7/2/2023,7:17:30 PM,41,30
7/2/2023,7:18:30 PM,41,30
7/2/2023,7:19:30 PM,41,30
7/2/2023,7:20:30 PM,41,30
7/2/2023,7:21:30 PM,41,30
7/2/2023,7:22:30 PM,41,30
7/2/2023,7:23:30 PM,41,30
7/2/2023,7:24:30 PM,41,30
7/2/2023,7:25:30 PM,41,30
7/2/2023,7:26:30 PM,41,30
7/2/2023,7:27:30 PM,41,30
7/2/2023,7:28:30 PM,41,30
7/2/2023,7:29:30 PM,41,30
7/2/2023,7:30:30 PM,41,30
7/2/2023,7:31:30 PM,41,30
7/2/2023,7:32:30 PM,41,30
7/2/2023,7:33:30 PM,41,30
7/2/2023,7:34:30 PM,41,30
7/2/2023,7:35:30 PM,41,30
7/2/2023,7:36:30 PM,41,30
7/2/2023,7:37:30 PM,41,30
7/2/2023,7:38:30 PM,40.9,30
7/2/2023,7:39:30 PM,41,30
7/2/2023,7:40:30 PM,41,30
7/2/2023,7:41:30 PM,41,30
7/2/2023,7:42:30 PM,41,30
7/2/2023,7:43:30 PM,41,30
7/2/2023,7:44:30 PM,41,30
7/2/2023,7:45:30 PM,41,30
7/2/2023,7:46:30 PM,41,30
7/2/2023,7:47:30 PM,41,30
7/2/2023,7:48:30 PM,41,30
7/2/2023,7:49:30 PM,41,30
7/2/2023,7:50:30 PM,41,30
7/2/2023,7:51:30 PM,41,30
7/2/2023,7:52:30 PM,41,30
7/2/2023,7:53:30 PM,41,30
7/2/2023,7:54:30 PM,41,30
7/2/2023,7:55:30 PM,41,30
7/2/2023,7:56:30 PM,41,30
7/2/2023,7:57:30 PM,40.9,30
7/2/2023,7:58:30 PM,40.9,30
7/2/2023,7:59:30 PM,40.9,30
7/2/2023,8:00:30 PM,41,30
7/2/2023,8:01:30 PM,41,30
7/2/2023,8:02:30 PM,41,30
7/2/2023,8:03:30 PM,40.9,30
7/2/2023,8:04:30 PM,41,30
7/2/2023,8:05:30 PM,40.9,30
7/2/2023,8:06:30 PM,40.9,30
7/2/2023,8:07:30 PM,41,30
7/2/2023,8:08:30 PM,40.9,30
7/2/2023,8:09:30 PM,40.9,30
7/2/2023,8:10:30 PM,41,30
7/2/2023,8:11:30 PM,40.9,30
7/2/2023,8:12:30 PM,41,30
7/2/2023,8:13:30 PM,40.9,30
7/2/2023,8:14:30 PM,40.9,30
7/2/2023,8:15:30 PM,40.9,30
7/2/2023,8:16:30 PM,40.9,30
7/2/2023,8:17:30 PM,40.9,30
7/2/2023,8:18:30 PM,40.9,30
7/2/2023,8:19:30 PM,40.9,30
7/2/2023,8:20:30 PM,40.9,30
7/2/2023,8:21:30 PM,40.9,30
7/2/2023,8:22:30 PM,40.8,30
7/2/2023,8:23:30 PM,40.9,30
7/2/2023,8:24:30 PM,40.9,30
7/2/2023,8:25:30 PM,40.9,30
7/2/2023,8:26:30 PM,40.8,30
7/2/2023,8:27:30 PM,40.9,30
7/2/2023,8:28:30 PM,40.9,30
